language,date,condition,speaker,duration,start,end,IOI
Mandarin,13011,conv,10,0.126991654,110.3180413,110.4450329,7.874533234
Mandarin,13011,conv,10,0.30477997,110.4450329,110.7498129,3.281055514
Mandarin,13011,conv,10,0.149003541,110.7498129,110.8988165,6.711249915
Mandarin,13011,conv,10,0.094820435,110.8988165,110.9936369,10.54624987
Mandarin,13011,conv,10,0.213345979,110.9936369,111.2069829,4.687222163
Mandarin,13011,conv,10,0.145617097,111.2069829,111.3526,6.867325495
Mandarin,13011,conv,10,0.135457764,111.3526,111.4880577,7.382374907
Mandarin,13011,conv,10,0.331871523,111.4880577,111.8199293,3.013214248
Mandarin,13011,conv,10,0.416532625,111.8199293,112.2364619,2.400772327
Mandarin,13011,conv,10,0.233664643,112.2364619,112.4701265,4.279637627
Mandarin,13011,conv,10,0.237051088,112.4701265,112.7071776,4.218499947
Mandarin,13011,conv,10,0.394520738,112.7071776,113.1016984,2.534720998
Mandarin,13011,conv,10,0.26414264,113.5487063,113.8128489,3.785833285
Mandarin,13011,conv,10,0.491034396,113.8128489,114.3038833,2.036517216
Mandarin,13011,conv,10,0.32171219,114.3038833,114.6255955,3.108368382
Mandarin,13011,conv,10,0.328485078,114.6255955,114.9540806,3.044278312
Mandarin,13011,conv,10,0.32171219,114.9540806,115.2757928,3.108368382
Mandarin,13011,conv,10,0.240437532,115.2757928,115.5162303,4.159084454
Mandarin,13011,conv,10,0.30477997,115.5162303,115.8210103,3.281055514
Mandarin,13011,conv,10,0.176095094,115.8210103,115.9971054,5.678749928
Mandarin,13011,conv,10,0.17563054,115.9971054,116.1727359,5.693770573
Mandarin,13011,conv,10,0.196413758,116.1727359,116.3691497,5.091293039
Mandarin,13011,conv,10,0.257369752,116.3691497,116.6265194,3.885460477
Mandarin,13011,conv,10,0.213345979,116.6265194,116.8398654,4.687222163
Mandarin,13011,conv,10,0.179481538,116.8398654,117.019347,5.571603703
Mandarin,13011,conv,10,0.274301973,117.019347,117.2936489,3.645617238
Mandarin,13011,conv,10,0.172708649,117.2936489,117.4663576,5.790097966
Mandarin,13011,conv,10,0.237051088,117.4663576,117.7034087,4.218499947
Mandarin,13011,conv,10,0.165935761,119.6983003,119.864236,6.026428495
Mandarin,13011,conv,10,0.159162873,119.864236,120.0233989,6.282872261
